Date;Match ID;League;country;Time;Status;Diff_Prob;OddAsianOverGoals_FT;AsianOverGoals_FT;OddAsianUnderGoals_FT;AsianUnderGoals_FT;corners_home;corners_away;corners_FT;corners_home_HT;corners_away_HT;Corners_HT;attack_FT;dangerous_attack_FT;possession_FT;Home;Home Pos;Home Red Cards;Home Yellow Cards;Odd_H_FT;Goals_H_HT;Goals_H_FT;Score;Odd_D_FT;Away;Away Pos;Away Red Cards;Away Yellow Cards;Odd_A_FT;Goals_A_HT;Goals_A_FT;Handicap;Corners (FT);Corners (HT);Total Goals Line (FT);Total Goals Line (HT);Dangerous Attacks (FT);Dangerous Attacks (HT);half_dangerous_attack_away;half_dangerous_attack_home;half_possession_away;half_possession_home;half_shoot_off_target_away;half_shoot_off_target_home;half_shoot_on_target_away;half_shoot_on_target_home;odds_lose_odds;odds_win_odds;odds_draw_odds;handicap_goal_over_line;handicap_goal_over_odds;handicap_goal_under_odds;handicap_goal_under_line;attack_away;attack_home;dangerous_attack_away;dangerous_attack_home;possession_away;possession_home;shoot_off_target_away;shoot_off_target_home;shoot_on_target_away;shoot_on_target_home;GoalMinutes;goal_minutes_real;goal_periods;is_extra_time;goal_scorers;goal_diff_before_list;goal_diff_after_list;period_result_before_list;period_result_after_list;pct_time_drawing;pct_time_home_winning;pct_time_away_winning;pct_time_drawing_HT;pct_time_home_winning_HT;pct_time_away_winning_HT;api_H_id;api_A_id;api_H_name;api_A_name;odd_yes_abertura;odd_yes_fechamento;category
2026-05-05;194043608;India I-League 3;India;00:30;Full;-0.7460236886632826;1.8;3.5, 4.0;2.0;3.5, 4.0;3.0;8.0;;3.0;5.0;8.0;110.0;115.0;;New Friends Club;;0.0;1.0;10.0;0;0.0;0 - 9;6.0;Baghpat FC;;0.0;1.0;1.182;4;9.0;+2.25;3 - 8;3-5;3.75;1.5;48 - 67;27 - 34;34.0;27.0;;;0.0;0.0;5.0;0.0;;;;;;;;59.0;51.0;67.0;48.0;;;0.0;0.0;10.0;2.0;;[11 14 17 45 47 53 54 69 78];[1 1 1 1 2 2 2 2 2];[False False False False False False False False False];"['Baghpat FC' 'Baghpat FC' 'Baghpat FC' 'Baghpat FC' 'Baghpat FC'
 'Baghpat FC' 'Baghpat FC' 'Baghpat FC' 'Baghpat FC']";[ 0 -1 -2 -3 -4 -5 -6 -7 -8];[-1 -2 -3 -4 -5 -6 -7 -8 -9];['D' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'];['A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'];0.12;0.0;0.88;0.24;0.0;0.76;;;;;;;
2026-05-05;194110403;South Korea League Cup;Unknown;02:00;Full;0.1847745750184775;1.9;2.0, 2.5;1.9;2.0, 2.5;8.0;3.0;;2.0;1.0;3.0;176.0;105.0;100.0;Chuncheon FC;;0.0;5.0;2.05;0;1.0;1 - 1;3.1;Mokpo City FC;;0.0;1.0;3.3;0;1.0;-0.25;8 - 3;2-1;2.25;1.0;62 - 43;27 - 27;27.0;27.0;48.0;52.0;3.0;5.0;2.0;0.0;;;;;;;;88.0;88.0;43.0;62.0;47.0;53.0;5.0;8.0;3.0;5.0;;[93 97];[2 2];[ True  True];['Chuncheon FC' 'Mokpo City FC'];[0 1];[1 0];['D' 'H'];['H' 'D'];0.96;0.04;0.0;1.0;0.0;0.0;326145.0;;Chuncheon FC;;;;
2026-05-05;194110418;South Korea League Cup;Unknown;02:00;Full;-0.13178294573643412;1.95;2.5;1.85;2.5;5.0;7.0;;2.0;1.0;3.0;68.0;105.0;100.0;Jeonbuk Motors II;;0.0;4.0;3.0;0;0.0;0 - 1;3.2;Yeoju;;0.0;4.0;2.15;1;1.0;+0.25;5 - 7;2-1;2.5;1.0;54 - 51;23 - 26;26.0;23.0;45.0;55.0;0.0;1.0;4.0;0.0;;;;;;;;26.0;42.0;51.0;54.0;42.0;58.0;0.0;1.0;4.0;0.0;;[22];[1];[False];['Yeoju'];[0];[-1];['D'];['A'];0.24;0.0;0.76;0.49;0.0;0.51;;708353.0;;Yeoju FC;;;Youth
2026-05-05;193202176;South Korea K League 1;South Korea;02:00;Full;0.047329276538201515;2.025;2.0;1.775;2.0;3.0;3.0;;0.0;3.0;3.0;179.0;113.0;100.0;Bucheon FC 1995;;0.0;2.0;2.55;0;0.0;0 - 1;2.9;Jeju United;;0.0;3.0;2.9;0;1.0;0.0;3 - 3;0-3;2.0;0.75;49 - 64;14 - 31;31.0;14.0;50.0;50.0;1.0;0.0;1.0;2.0;;;;;;;;100.0;79.0;64.0;49.0;50.0;50.0;2.0;1.0;4.0;2.0;;[77];[2];[False];['Jeju United'];[0];[-1];['D'];['A'];0.86;0.0;0.14;1.0;0.0;0.0;92539.0;7649.0;Bucheon FC 1995;Jeju SK FC;;;
2026-05-05;193202178;South Korea K League 1;South Korea;02:00;Full;0.7414075286415711;1.85;2.5;1.95;2.5;4.0;3.0;;4.0;0.0;4.0;245.0;152.0;100.0;Jeonbuk Motors;;0.0;1.0;1.222;1;4.0;4 - 0;5.0;Gwangju FC;;0.0;4.0;13.0;0;0.0;-1.5;4 - 3;4-0;2.5;1.0;98 - 54;69 - 20;20.0;69.0;50.0;50.0;2.0;2.0;1.0;4.0;;;;;;;;99.0;146.0;54.0;98.0;50.0;50.0;3.0;3.0;3.0;8.0;;[43 50 87 98];[1 2 2 2];[False False False  True];['Jeonbuk Motors' 'Jeonbuk Motors' 'Jeonbuk Motors' 'Jeonbuk Motors'];[0 1 2 3];[1 2 3 4];['D' 'H' 'H' 'H'];['H' 'H' 'H' 'H'];0.44;0.56;0.0;0.96;0.04;0.0;6908.0;48912.0;Jeonbuk FC;Gwangju FC;;;
2026-05-05;194110428;South Korea League Cup;Unknown;03:00;Full;0.5664711632453567;1.825;3.0;1.975;3.0;5.0;5.0;;3.0;4.0;7.0;158.0;93.0;100.0;Jinju Citizen FC;;0.0;1.0;1.364;0;2.0;2 - 1;4.75;Haman;;0.0;2.0;6.0;1;1.0;-1.25;5 - 5;3-4;3.0;1.25;52 - 41;24 - 21;21.0;24.0;37.0;63.0;4.0;3.0;1.0;1.0;;;;;;;;84.0;74.0;41.0;52.0;39.0;61.0;10.0;7.0;3.0;5.0;;[12 57 86];[1 2 2];[False False False];['Haman' 'Jinju Citizen FC' 'Jinju Citizen FC'];[ 0 -1  0];[-1  0  1];['D' 'A' 'D'];['A' 'D' 'H'];0.46;0.04;0.5;0.27;0.0;0.73;418115.0;;Paju Citizen FC;;;;
2026-05-05;194043664;Japan Regional League;Japan;03:00;Full;-0.3726072967224736;1.95;2.5;1.85;2.5;2.0;4.0;;1.0;2.0;3.0;33.0;21.0;;Aries Toshima FC;;0.0;1.0;4.4;0;1.0;1 - 1;3.5;Tokyo 23 FC;;0.0;1.0;1.667;0;1.0;+0.75;2 - 4;1-2;2.5;1.0;8 - 13;-;0.0;0.0;;;0.0;0.0;0.0;0.0;;;;;;;;15.0;18.0;13.0;8.0;;;3.0;2.0;1.0;1.0;;[54 91];[2 2];[False  True];['Aries Toshima FC' 'Tokyo 23 FC'];[0 1];[1 0];['D' 'H'];['H' 'D'];0.59;0.41;0.0;1.0;0.0;0.0;;3147.0;;FC Tokyo;;;
2026-05-05;194099251;China League One Women;Unknown;03:00;Full;-0.5476190476190477;1.825;3.0;1.975;3.0;5.0;4.0;;2.0;2.0;4.0;142.0;79.0;100.0;Fujian Nanan (W);;0.0;1.0;6.0;0;1.0;1 - 2;4.333;Shanghai Shenhua (W);;0.0;0.0;1.4;2;2.0;+1.25;5 - 4;2-2;3.0;1.25;45 - 34;17 - 17;17.0;17.0;33.0;67.0;1.0;1.0;5.0;0.0;;;;;;;;62.0;80.0;34.0;45.0;36.0;64.0;2.0;1.0;6.0;3.0;;[32 41 53];[1 1 2];[False False False];['Shanghai Shenhua (W)' 'Shanghai Shenhua (W)' 'Fujian Nanan (W)'];[ 0 -1 -2];[-1 -2 -1];['D' 'A' 'A'];['A' 'A' 'A'];0.36;0.0;0.64;0.71;0.0;0.29;;;;;;;Women
2026-05-05;194110431;South Korea League Cup;Unknown;03:00;Full;0.5476190476190477;2.0;3.0;1.8;3.0;2.0;3.0;;1.0;1.0;2.0;202.0;89.0;100.0;Siheung City AC;;0.0;1.0;1.4;1;2.0;2 - 1;4.333;Jincheon HR;;0.0;2.0;6.0;0;1.0;-1.25;2 - 3;1-1;3.0;1.25;50 - 39;28 - 13;13.0;28.0;36.0;64.0;1.0;4.0;2.0;7.0;;;;;;;;90.0;112.0;39.0;50.0;41.0;59.0;2.0;12.0;6.0;11.0;;[43 81 90];[1 2 2];[False False False];['Siheung City AC' 'Siheung City AC' 'Jincheon HR'];[0 1 2];[1 2 1];['D' 'H' 'H'];['H' 'H' 'H'];0.48;0.52;0.0;0.96;0.04;0.0;418095.0;;Siheung Citizen FC;;;;
2026-05-05;194099245;China League One Women;China;03:00;Schedule;-0.2113344683080146;1.85;2.5, 3.0;1.95;2.5, 3.0;3.0;1.0;;3.0;1.0;4.0;57.0;29.0;100.0;Hebei (W);;0.0;0.0;3.2;1;1.0;1 - 0;3.6;Shandong (W) B;;0.0;0.0;1.909;0;0.0;+0.5 ( 0.0);3 - 1;3-1;2.75 (2.75);1.25 ( 1.5);17 - 12;nan;;;;;;;;;;;;;;;;20.0;37.0;12.0;17.0;48.0;52.0;0.0;3.0;0.0;1.0;;[16];[1];[False];['Hebei (W)'];[0];[1];['D'];['H'];0.18;0.82;0.0;0.36;0.64;0.0;;;;;;;Youth-Women
