Date;Match ID;League;country;Time;Status;Stats;Diff_Prob;OddAsianOverGoals_FT;AsianOverGoals_FT;OddAsianUnderGoals_FT;AsianUnderGoals_FT;corners_home;corners_away;corners_FT;corners_home_HT;corners_away_HT;Corners_HT;attack_FT;dangerous_attack_FT;possession_FT;Home;Home Pos;Home Red Cards;Home Yellow Cards;Odd_H_FT;Goals_H_HT;Goals_H_FT;Score;Odd_D_FT;Away;Away Pos;Away Red Cards;Away Yellow Cards;Odd_A_FT;Goals_A_HT;Goals_A_FT;Handicap;Corners (FT);Corners (HT);Total Goals Line (FT);Total Goals Line (HT);Dangerous Attacks (FT);Dangerous Attacks (HT);half_dangerous_attack_away;half_dangerous_attack_home;half_possession_away;half_possession_home;half_shoot_off_target_away;half_shoot_off_target_home;half_shoot_on_target_away;half_shoot_on_target_home;odds_lose_odds;odds_win_odds;odds_draw_odds;handicap_goal_over_line;handicap_goal_over_odds;handicap_goal_under_odds;handicap_goal_under_line;attack_away;attack_home;dangerous_attack_away;dangerous_attack_home;possession_away;possession_home;shoot_off_target_away;shoot_off_target_home;shoot_on_target_away;shoot_on_target_home;GoalMinutes;goal_minutes_real;goal_periods;is_extra_time;goal_scorers;goal_diff_before_list;goal_diff_after_list;period_result_before_list;period_result_after_list;pct_time_drawing;pct_time_home_winning;pct_time_away_winning;pct_time_drawing_HT;pct_time_home_winning_HT;pct_time_away_winning_HT;api_H_id;api_A_id;api_H_name;api_A_name;odd_yes_abertura;odd_yes_fechamento;category
2026-05-14;194481633;China League One Women;China;03:00;Full;True;0.1122019635343619;2.0;2.0, 2.5;1.8;2.0, 2.5;0.0;10.0;;0.0;3.0;3.0;181.0;94.0;100.0;Chongqing Olympic (W);;0.0;0.0;2.3;0;0.0;0 - 0;2.8;Fujian Nanan (W);;0.0;1.0;3.1;0;0.0;-0.25;0 - 10;0-3;2.25;0.75;16 - 78;8 - 32;32.0;8.0;82.0;18.0;3.0;1.0;4.0;0.0;;;;;;;;130.0;51.0;78.0;16.0;80.0;20.0;10.0;2.0;7.0;0.0;;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;;;;;;;Women
2026-05-14;194481643;China League One Women;China;03:00;Full;True;0.19047619047619047;1.9;2.0, 2.5;1.9;2.0, 2.5;11.0;1.0;;5.0;0.0;5.0;177.0;124.0;100.0;Zhejiang Hangzhou B (W);;0.0;0.0;2.1;0;2.0;2 - 0;2.8;Shanxi Xihua (W);;0.0;1.0;3.5;0;0.0;-0.25;11 - 1;5-0;2.25;1.0;94 - 30;38 - 20;20.0;38.0;50.0;50.0;2.0;7.0;1.0;1.0;;;;;;;;79.0;98.0;30.0;94.0;45.0;55.0;3.0;19.0;1.0;8.0;;[87 90];[2 2];[False False];['Zhejiang Hangzhou B (W)' 'Zhejiang Hangzhou B (W)'];[0 1];[1 2];['D' 'H'];['H' 'H'];0.97;0.03;0.0;1.0;0.0;0.0;;;;;;;Youth-Women
2026-05-14;194528005;Finland Kolmonen;Finland;05:00;Full;True;-0.5513196480938416;1.825;3.5;1.975;3.5;11.0;2.0;;6.0;1.0;7.0;190.0;88.0;100.0;SJK-j;;0.0;0.0;5.5;0;0.0;0 - 2;4.75;FC Kiisto;;0.0;2.0;1.364;2;2.0;+1.5;11 - 2;6-1;3.5;1.5;67 - 21;27 - 8;8.0;27.0;36.0;64.0;2.0;5.0;2.0;1.0;;;;;;;;58.0;132.0;21.0;67.0;30.0;70.0;5.0;15.0;3.0;3.0;;[24 37];[1 1];[False False];['FC Kiisto' 'FC Kiisto'];[ 0 -1];[-1 -2];['D' 'A'];['A' 'A'];0.27;0.0;0.73;0.53;0.0;0.47;;;;;;;
2026-05-14;194527995;Finland Cup Women;Finland;05:00;Full;True;-0.7407605307685458;1.925;4.0, 4.5;1.875;4.0, 4.5;2.0;9.0;;1.0;6.0;7.0;185.0;128.0;;HPS II (W);;0.0;0.0;9.5;0;0.0;0 - 5;6.5;FC Honka (W);;0.0;0.0;1.182;3;5.0;+2.25;2 - 9;1-6;4.25;1.75;44 - 84;17 - 39;39.0;17.0;;;2.0;2.0;5.0;0.0;;;;;;;;106.0;79.0;84.0;44.0;;;5.0;3.0;10.0;3.0;;[35 38 39 60 70];[1 1 1 2 2];[False False False False False];"['FC Honka (W)' 'FC Honka (W)' 'FC Honka (W)' 'FC Honka (W)'
 'FC Honka (W)']";[ 0 -1 -2 -3 -4];[-1 -2 -3 -4 -5];['D' 'A' 'A' 'A' 'A'];['A' 'A' 'A' 'A' 'A'];0.39;0.0;0.61;0.78;0.0;0.22;;2260.0;;fc honka;;;Youth-Women
2026-05-14;194556148;China League One Women;China;05:30;Full;True;0.3691950464396285;1.9;3.0;1.9;3.0;11.0;0.0;;6.0;0.0;6.0;223.0;150.0;100.0;Shanghai Shenhua (W);;0.0;0.0;1.615;0;0.0;0 - 0;4.0;Tianjin Shengde (W);;0.0;0.0;4.0;0;0.0;-0.75;11 - 0;6-0;3.0;1.25;108 - 42;47 - 20;20.0;47.0;39.0;61.0;0.0;6.0;0.0;4.0;;;;;;;;99.0;124.0;42.0;108.0;41.0;59.0;2.0;22.0;0.0;7.0;;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;3373.0;;shanghai shenhua fc;;;;Women
2026-05-14;194528302;China League One Women;China;05:30;Full;True;0.8798827732947931;2.0;3.0;1.8;3.0;11.0;0.0;;2.0;0.0;2.0;160.0;117.0;100.0;Qingdao West Coast (W);;0.0;2.0;1.083;1;2.0;2 - 2;9.0;Guangdong Yue Zhan (W);;0.0;1.0;23.0;2;2.0;-1.75;11 - 0;2-0;3.0;1.25;102 - 15;39 - 6;6.0;39.0;28.0;72.0;0.0;6.0;4.0;1.0;;;;;;;;50.0;110.0;15.0;102.0;30.0;70.0;1.0;14.0;6.0;4.0;;[ 6 39 40 61];[1 1 1 2];[False False False False];"['Qingdao West Coast (W)' 'Guangdong Yue Zhan (W)'
 'Guangdong Yue Zhan (W)' 'Qingdao West Coast (W)']";[ 0  1  0 -1];[ 1  0 -1  0];['D' 'H' 'D' 'A'];['H' 'D' 'A' 'D'];0.4;0.37;0.23;0.16;0.73;0.11;754363.0;;qingdao west coast fc;;;;Women
2026-05-14;194579133;Austria Amateur Cup;Austria;06:00;Full;True;-0.8412664795891354;1.85;3.5, 4.0;1.95;3.5, 4.0;7.0;6.0;;0.0;3.0;3.0;161.0;87.0;100.0;FC Volders;;1.0;7.0;17.0;0;2.0;2 - 3;9.0;WSG Swarovski Tirol II;;0.0;3.0;1.111;0;3.0;+1.75;7 - 6;0-3;3.75;1.75;29 - 58;4 - 26;26.0;4.0;64.0;36.0;0.0;0.0;3.0;0.0;;;;;;;;102.0;59.0;58.0;29.0;61.0;39.0;0.0;2.0;10.0;6.0;;[46 64 82 83 95];[2 2 2 2 2];[False False False False  True];"['WSG Swarovski Tirol II' 'WSG Swarovski Tirol II' 'FC Volders'
 'FC Volders' 'WSG Swarovski Tirol II']";[ 0 -1 -2 -1  0];[-1 -2 -1  0 -1];['D' 'A' 'A' 'A' 'D'];['A' 'A' 'A' 'D' 'A'];0.61;0.0;0.39;1.0;0.0;0.0;;5405.0;;wsg tirol;;;Youth
2026-05-14;194535832;Austria Landesliga;Austria;06:00;Full;True;0.04262574595055413;2.0;3.0, 3.5;1.8;3.0, 3.5;3.0;1.0;;1.0;0.0;1.0;255.0;121.0;100.0;SV Lochau;;0.0;4.0;2.3;1;3.0;3 - 1;3.6;FC Wolfurt;;0.0;4.0;2.55;1;1.0;-0.25;3 - 1;1-0;3.25;1.25;67 - 54;35 - 26;26.0;35.0;41.0;59.0;3.0;2.0;5.0;6.0;;;;;;;;124.0;131.0;54.0;67.0;46.0;54.0;5.0;6.0;7.0;10.0;;[ 1 12 49 61];[1 1 2 2];[False False False False];['SV Lochau' 'FC Wolfurt' 'SV Lochau' 'SV Lochau'];[0 1 0 1];[1 0 1 2];['D' 'H' 'D' 'H'];['H' 'D' 'H' 'H'];0.42;0.58;0.0;0.76;0.24;0.0;;;;;;;
2026-05-14;194530549;India I-League 2nd Division;India;06:30;Schedule;False;0.33182503770739064;1.875;2.5;1.925;2.5;5.0;5.0;;1.0;4.0;5.0;244.0;159.0;;Neroca FC;;0.0;2.0;1.7;0;1.0;1 - 2;3.7;Sudeva Delhi FC;;0.0;2.0;3.9;1;2.0;-0.75 ( 0.0);5 - 5;1-4;2.5 ( 3.5);1.0;79 - 66;38 - 33;33.0;38.0;;;3.0;2.0;1.0;3.0;;;;;;;;129.0;115.0;72.0;87.0;;;6.0;6.0;3.0;7.0;;[20 54 85 95];[1 2 2 2];[False False False  True];['Sudeva Delhi FC' 'Sudeva Delhi FC' 'Neroca FC' 'Sudeva Delhi FC'];[ 0 -1 -2 -1];[-1 -2 -1 -2];['D' 'A' 'A' 'A'];['A' 'A' 'A' 'A'];0.21;0.0;0.79;0.44;0.0;0.56;;;;;;;
2026-05-14;194576844;Spain Youth League;Spain;07:00;Schedule;False;0.28054298642533937;1.95;3.0, 3.5;1.85;3.0, 3.5;4.0;1.0;;3.0;0.0;3.0;183.0;93.0;;Barcelona U19;;0.0;0.0;1.7;0;1.0;1 - 0;4.75;Tenerife U19;;0.0;1.0;3.25;0;0.0;-0.75 ( -0.5);4 - 1;3-0;3.25 (2.25);1.5;69 - 12;61 - 9;9.0;61.0;;;1.0;11.0;0.0;3.0;;;;;;;;64.0;119.0;14.0;79.0;;;1.0;16.0;0.0;5.0;;[52 62];[2 2];[False False];['Barcelona U19' 'Barcelona U19'];[0 1];[1 2];['D' 'H'];['H' 'H'];0.58;0.42;0.0;1.0;0.0;0.0;2817.0;2822.0;fc barcelona;tenerife cd;;;Youth
2026-05-14;194527993;Finland Cup Women;Finland;07:00;Schedule;False;-0.5501875468867217;1.9;4.0, 4.5;1.9;4.0, 4.5;0.0;2.0;;0.0;2.0;2.0;122.0;67.0;;JaPS (W);;0.0;0.0;5.0;0;0.0;0 - 2;6.0;KTP (W);;0.0;0.0;1.333;2;2.0;+1.75 (+1.25);0 - 2;0-2;4.25 (3.75);1.75;16 - 35;14 - 29;29.0;14.0;;;8.0;0.0;3.0;0.0;;;;;;;;67.0;55.0;42.0;25.0;;;11.0;1.0;3.0;1.0;;[29 44];[1 1];[False False];['KTP (W)' 'KTP (W)'];[ 0 -1];[-1 -2];['D' 'A'];['A' 'A'];0.32;0.0;0.68;0.64;0.0;0.36;23422.0;2255.0;japs;fc ktp kotka;;;Women
